#Data_base;Nome_da_Administradora;Código_do_segmento;Unidade_da_Federação_do_consorciado;Quantidade_de_adesões_no_trimestre
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AC;10
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AC;0
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AC;32
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AC;19
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AL;45
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AL;0
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AL;119
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AL;32
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AM;128
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AM;9
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AM;231
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AM;52
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AP;31
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AP;4
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AP;67
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AP;14
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;BA;363
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;BA;32
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;BA;1770
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;BA;164
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;CE;127
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;CE;2
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;CE;1072
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;CE;310
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;DF;216
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;DF;10
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;DF;772
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;DF;59
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;ES;205
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;ES;7
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;ES;1433
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;ES;84
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;GO;511
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;GO;36
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;GO;3011
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;GO;407
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MA;70
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MA;2
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MA;327
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MA;41
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MG;1234
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MG;40
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MG;5169
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MG;1499
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MS;98
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MS;3
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MS;395
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MS;40
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;MT;105
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;MT;4
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;MT;2409
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;MT;41
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PA;103
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PA;3
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PA;322
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PA;116
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PB;43
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PB;2
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PB;105
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PB;46
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PE;202
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PE;10
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PE;651
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PE;111
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;PI;17
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;PI;2
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;PI;123
202312;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;PI;12
