#Data_base;CNPJ_da_Administradora;Nome_da_Administradora;Código_do_segmento;Unidade_da_Federação_do_consorciado;Quantidade_de_consorciados_ativos_contemplados_por_lance;Quantidade_de_consorciados_ativos_contemplados_por_sorteio;Quantidade_de_consorciados_ativos_não_contemplados;Quantidade_de_consorciados_excluídos_contemplados;Quantidade_de_consorciados_excluídos_não_contemplados;Quantidade_de_consorciados_ativos_contemplados_por_lance_no_trimestre;Quantidade_de_consorciados_ativos_contemplados_por_sorteio_no_trimestre;Quantidade_de_consorciados_excluídos_contemplados_no_trimestre;Quantidade_de_adesões_no_trimestre
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AC;16;11;39;9;216;1;4;0;0
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AC;0;0;1;0;0;0;0;0;0
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AC;125;37;201;33;285;8;3;11;22
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AC;68;4;29;1;83;10;1;1;9
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AL;94;46;228;43;685;8;2;0;57
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AL;3;0;13;0;14;0;0;0;2
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AL;479;96;749;100;954;49;18;35;146
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AL;50;3;219;6;305;10;0;0;48
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AM;166;85;730;118;2731;9;7;6;169
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AM;9;3;63;2;51;1;1;0;4
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AM;1154;277;1779;291;2702;258;35;117;374
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AM;75;10;316;17;749;9;0;0;22
202409;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AP;16;10;123;7;384;2;2;0;19
